               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.032588,            0.053166,           0.0030214,             0.76871,             0.71221,             0.73018,             0.38538,            0.044335,            0.076998,            0.011195,            0.006733,            0.006733,            0.006733
                 101,            0.034698,            0.052954,           0.0039701,             0.81416,             0.66856,             0.72363,             0.38069,            0.044548,            0.076929,            0.011559,              0.0067,              0.0067,              0.0067
                 102,            0.033974,            0.053539,           0.0036378,             0.76296,             0.70727,             0.73098,             0.37917,            0.044628,            0.076632,            0.011881,            0.006667,            0.006667,            0.006667
                 103,             0.03444,            0.049538,           0.0026045,             0.73733,             0.73866,             0.73367,              0.3778,            0.045079,            0.076344,            0.011917,            0.006634,            0.006634,            0.006634
                 104,            0.037126,            0.048918,           0.0038182,              0.7958,             0.74869,             0.76804,             0.38897,            0.044175,            0.074688,            0.010765,            0.006601,            0.006601,            0.006601
                 105,            0.032798,            0.049489,           0.0037104,             0.81239,             0.70893,             0.74729,             0.38165,            0.045958,             0.07436,            0.011136,            0.006568,            0.006568,            0.006568
                 106,            0.035611,            0.051733,           0.0040965,             0.84244,             0.69253,             0.75963,             0.39221,            0.044327,            0.072859,            0.011226,            0.006535,            0.006535,            0.006535
                 107,             0.03504,            0.054461,            0.003451,             0.84319,             0.70373,             0.76475,             0.38132,            0.043923,            0.072837,            0.011078,            0.006502,            0.006502,            0.006502
                 108,            0.034083,            0.054186,           0.0034933,             0.76909,             0.74858,             0.75749,             0.37684,            0.044634,            0.072551,            0.011376,            0.006469,            0.006469,            0.006469
                 109,             0.03495,            0.050263,           0.0041077,             0.82515,             0.71762,             0.75514,             0.38915,            0.043703,            0.074519,            0.011117,            0.006436,            0.006436,            0.006436
                 110,            0.034122,            0.049665,           0.0030361,              0.8315,             0.72755,             0.76839,             0.39794,            0.043676,            0.072342,            0.010747,            0.006403,            0.006403,            0.006403
                 111,            0.031921,            0.053177,           0.0035301,             0.82734,              0.7436,             0.77194,             0.39138,            0.043728,            0.072808,            0.010462,             0.00637,             0.00637,             0.00637
                 112,            0.033899,            0.047378,           0.0029987,             0.81979,             0.76499,             0.77538,             0.40219,            0.043663,            0.075019,            0.010042,            0.006337,            0.006337,            0.006337
                 113,            0.032203,            0.054365,            0.003086,             0.83147,             0.76519,             0.76785,             0.39915,            0.042971,            0.075327,           0.0099134,            0.006304,            0.006304,            0.006304
                 114,            0.033447,            0.051384,           0.0046578,             0.77445,             0.75321,             0.74294,              0.3805,            0.044154,            0.078619,            0.010876,            0.006271,            0.006271,            0.006271
                 115,            0.033277,            0.052443,           0.0034692,             0.81587,             0.72515,             0.75265,             0.38411,            0.044687,            0.077789,             0.01138,            0.006238,            0.006238,            0.006238
                 116,            0.033008,            0.055129,           0.0037314,             0.80363,             0.75408,              0.7601,             0.38777,            0.044329,            0.077269,            0.011011,            0.006205,            0.006205,            0.006205
                 117,            0.032836,            0.047416,           0.0035365,             0.80528,             0.70094,             0.73689,             0.38188,            0.044197,            0.077282,            0.010908,            0.006172,            0.006172,            0.006172
                 118,            0.032699,            0.056399,           0.0028999,             0.82178,             0.73261,             0.74402,             0.38419,             0.04472,            0.077183,            0.010535,            0.006139,            0.006139,            0.006139
                 119,            0.031371,            0.046963,           0.0023673,             0.83427,             0.72467,             0.74315,             0.39863,             0.04393,            0.077903,            0.010264,            0.006106,            0.006106,            0.006106
                 120,            0.034494,            0.049389,           0.0026957,             0.80018,             0.71595,               0.752,             0.38357,            0.044987,            0.077723,             0.01034,            0.006073,            0.006073,            0.006073
                 121,            0.033419,               0.056,           0.0037166,               0.803,             0.70661,             0.74846,             0.37782,             0.04516,            0.077455,            0.010639,             0.00604,             0.00604,             0.00604
                 122,            0.033355,            0.050707,           0.0031184,             0.77187,             0.72119,             0.72357,             0.38499,            0.044229,            0.074667,            0.010411,            0.006007,            0.006007,            0.006007
                 123,            0.033112,            0.048869,           0.0037002,             0.75508,             0.73074,             0.71212,             0.37104,            0.044209,            0.074525,            0.010659,            0.005974,            0.005974,            0.005974
                 124,            0.031407,            0.050652,           0.0029893,             0.81898,             0.69165,             0.73778,             0.37211,            0.044274,            0.075384,            0.010629,            0.005941,            0.005941,            0.005941
                 125,             0.03148,             0.04685,           0.0038772,              0.8121,              0.7079,             0.74701,             0.36974,            0.044671,            0.075827,            0.010448,            0.005908,            0.005908,            0.005908
                 126,            0.033679,            0.049787,           0.0035609,             0.81792,             0.69776,             0.73956,             0.37522,            0.044296,            0.076491,            0.010151,            0.005875,            0.005875,            0.005875
                 127,            0.032504,            0.051037,           0.0031308,             0.84559,             0.71737,             0.77254,             0.39057,            0.044486,            0.075902,           0.0099778,            0.005842,            0.005842,            0.005842
                 128,            0.032976,            0.049782,           0.0024151,             0.85839,             0.70313,             0.76958,             0.39345,            0.044137,            0.074387,             0.01005,            0.005809,            0.005809,            0.005809
                 129,            0.031583,            0.052007,           0.0031316,             0.81888,             0.70977,             0.76865,             0.39221,            0.044553,            0.074713,            0.010168,            0.005776,            0.005776,            0.005776
                 130,            0.032009,            0.049847,           0.0029295,             0.75537,             0.74641,             0.75957,             0.38266,            0.044436,            0.076236,            0.011019,            0.005743,            0.005743,            0.005743
                 131,            0.030176,            0.050577,           0.0036843,             0.78946,             0.73593,             0.77566,             0.36708,            0.043954,            0.077442,            0.010968,             0.00571,             0.00571,             0.00571
                 132,            0.032143,             0.05309,           0.0034139,             0.80507,             0.74092,              0.7787,             0.39588,            0.043484,            0.078373,           0.0098317,            0.005677,            0.005677,            0.005677
                 133,            0.031823,             0.05221,           0.0018402,              0.8467,             0.72816,             0.78344,             0.39773,            0.043798,            0.078617,            0.009507,            0.005644,            0.005644,            0.005644
                 134,            0.033396,            0.052747,           0.0030187,             0.81628,             0.72612,             0.73722,             0.38451,            0.044628,            0.078638,           0.0095217,            0.005611,            0.005611,            0.005611
                 135,            0.032808,            0.053265,           0.0026845,             0.85051,             0.70689,              0.7704,             0.39222,            0.044434,            0.079905,           0.0095964,            0.005578,            0.005578,            0.005578
                 136,            0.035081,            0.050031,           0.0037416,             0.78423,             0.71162,             0.73417,             0.37692,            0.044867,            0.079007,           0.0099091,            0.005545,            0.005545,            0.005545
                 137,            0.032471,            0.052277,           0.0032726,             0.79384,             0.71266,             0.73238,             0.37602,            0.044598,            0.078781,            0.010149,            0.005512,            0.005512,            0.005512
