               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.032641,             0.04646,           0.0051342,             0.78302,             0.78407,             0.77432,             0.38886,            0.044062,            0.072785,            0.011604,            0.007591,            0.007591,            0.007591
                  75,            0.031268,            0.048345,           0.0029352,             0.80549,             0.73705,             0.76836,             0.38582,            0.045229,            0.073688,            0.011902,            0.007558,            0.007558,            0.007558
                  76,            0.032812,            0.052798,            0.003286,             0.81812,             0.74859,             0.78093,             0.37607,            0.044794,            0.072421,            0.011632,            0.007525,            0.007525,            0.007525
                  77,            0.034573,            0.048072,           0.0034837,             0.79421,             0.75387,              0.7613,             0.39828,            0.044445,             0.07263,            0.012507,            0.007492,            0.007492,            0.007492
                  78,            0.032889,            0.049519,           0.0030191,             0.79678,             0.74036,             0.74979,             0.39538,            0.043829,            0.072843,            0.012673,            0.007459,            0.007459,            0.007459
                  79,            0.032144,            0.046964,           0.0040822,             0.78931,              0.7515,              0.7497,             0.38471,            0.045046,            0.073305,            0.011745,            0.007426,            0.007426,            0.007426
                  80,            0.035077,            0.050035,            0.003488,              0.7863,             0.75165,             0.76994,              0.4043,            0.044247,            0.075225,            0.011002,            0.007393,            0.007393,            0.007393
                  81,            0.031855,            0.045835,           0.0032002,             0.78485,             0.72972,              0.7499,             0.37065,            0.047892,            0.076357,             0.01183,             0.00736,             0.00736,             0.00736
                  82,            0.032252,            0.050805,           0.0029761,             0.80927,             0.77434,             0.77388,             0.38067,            0.044963,            0.075075,            0.012127,            0.007327,            0.007327,            0.007327
                  83,            0.031798,            0.046824,           0.0026695,             0.81522,             0.75705,             0.74744,             0.34979,            0.046673,             0.07597,            0.011117,            0.007294,            0.007294,            0.007294
                  84,            0.030762,            0.048886,           0.0029473,              0.7859,             0.78691,             0.75372,             0.36573,            0.046894,            0.076967,            0.010079,            0.007261,            0.007261,            0.007261
                  85,            0.032685,            0.045044,           0.0029002,             0.79516,             0.77572,             0.76107,             0.35534,             0.04711,            0.077427,           0.0099166,            0.007228,            0.007228,            0.007228
                  86,            0.029346,            0.049093,           0.0027155,             0.82924,             0.77735,             0.74903,             0.34371,            0.048342,            0.078312,            0.010202,            0.007195,            0.007195,            0.007195
                  87,            0.031544,            0.047827,           0.0027181,             0.80229,             0.77371,             0.73887,             0.33503,            0.047601,            0.079875,            0.010516,            0.007162,            0.007162,            0.007162
                  88,            0.033671,            0.052886,           0.0024166,             0.80792,             0.78542,             0.77802,             0.35876,            0.046953,            0.077211,            0.010891,            0.007129,            0.007129,            0.007129
                  89,              0.0312,            0.046433,            0.002853,             0.81388,               0.757,             0.75988,             0.36311,            0.045561,            0.077281,            0.010269,            0.007096,            0.007096,            0.007096
                  90,            0.031177,            0.047051,           0.0027056,             0.80805,             0.78227,             0.76602,             0.37821,            0.045394,            0.076409,            0.009826,            0.007063,            0.007063,            0.007063
                  91,            0.032305,            0.045624,            0.002749,             0.79021,             0.78996,             0.77401,             0.37924,            0.046594,            0.076994,           0.0097609,             0.00703,             0.00703,             0.00703
                  92,            0.029729,            0.048639,           0.0037098,             0.79347,             0.79167,             0.79107,             0.39167,            0.044301,            0.077633,           0.0098783,            0.006997,            0.006997,            0.006997
                  93,            0.029013,            0.047495,           0.0030773,             0.79096,             0.79149,             0.80088,             0.39924,            0.044542,            0.077576,            0.010372,            0.006964,            0.006964,            0.006964
                  94,            0.030388,             0.04926,           0.0036953,             0.82364,             0.71605,             0.75265,             0.36666,            0.046507,            0.076638,            0.010959,            0.006931,            0.006931,            0.006931
                  95,            0.028806,            0.045101,           0.0034575,             0.85381,             0.73753,             0.77993,             0.37741,            0.044883,            0.076566,            0.010598,            0.006898,            0.006898,            0.006898
                  96,            0.030435,            0.048378,           0.0029695,             0.83952,             0.74539,             0.76892,             0.37363,            0.045185,            0.075755,            0.010023,            0.006865,            0.006865,            0.006865
                  97,            0.028771,            0.043136,           0.0027159,             0.82956,             0.77448,             0.77838,             0.38287,            0.045589,            0.076473,           0.0099936,            0.006832,            0.006832,            0.006832
                  98,            0.030583,               0.047,           0.0020707,             0.86655,             0.75593,             0.78698,             0.38391,            0.043909,            0.076324,            0.009828,            0.006799,            0.006799,            0.006799
                  99,            0.031014,            0.044571,            0.003226,             0.87934,             0.75159,              0.7745,             0.37793,            0.043775,            0.076276,           0.0097305,            0.006766,            0.006766,            0.006766
                 100,            0.027618,            0.042579,           0.0030472,             0.87837,             0.75677,             0.78675,             0.40045,            0.043887,            0.077933,           0.0098318,            0.006733,            0.006733,            0.006733
                 101,            0.028826,            0.046214,           0.0020454,             0.87425,             0.74048,             0.78983,             0.39021,            0.044646,            0.080147,            0.010344,              0.0067,              0.0067,              0.0067
                 102,            0.028204,            0.050087,           0.0028736,             0.83834,             0.72741,             0.77805,             0.38301,            0.044959,            0.080542,            0.010926,            0.006667,            0.006667,            0.006667
                 103,            0.029084,            0.047395,           0.0026346,             0.81463,             0.75262,             0.77484,             0.37419,             0.04573,            0.080719,            0.011188,            0.006634,            0.006634,            0.006634
                 104,            0.030852,             0.04271,           0.0033589,             0.83606,             0.75079,             0.78207,             0.36573,             0.04631,            0.079021,            0.010014,            0.006601,            0.006601,            0.006601
                 105,            0.028799,            0.045058,           0.0030669,              0.8066,             0.75209,              0.7579,             0.35911,            0.047859,            0.078321,           0.0093855,            0.006568,            0.006568,            0.006568
                 106,            0.029621,            0.044991,           0.0027749,             0.82963,             0.76341,              0.7823,             0.37923,            0.045551,             0.07926,             0.00998,            0.006535,            0.006535,            0.006535
                 107,            0.031413,            0.046619,           0.0037242,             0.76009,             0.77338,             0.72817,             0.34584,            0.046137,            0.078366,             0.01098,            0.006502,            0.006502,            0.006502
                 108,            0.029316,            0.045654,           0.0034054,             0.78188,             0.76261,             0.73995,             0.34411,            0.044472,            0.078216,            0.011691,            0.006469,            0.006469,            0.006469
                 109,            0.029355,            0.044067,           0.0033312,             0.78109,             0.77901,             0.75346,             0.35405,            0.044639,            0.078391,              0.0112,            0.006436,            0.006436,            0.006436
                 110,            0.027446,             0.04669,           0.0021943,              0.8096,             0.75821,             0.75381,             0.35381,            0.045597,            0.080172,             0.01072,            0.006403,            0.006403,            0.006403
                 111,            0.028828,            0.048962,           0.0023303,             0.78889,             0.77161,             0.75662,             0.35777,            0.046326,            0.082184,             0.01093,             0.00637,             0.00637,             0.00637
                 112,            0.030131,            0.050905,           0.0028775,             0.80639,             0.75373,             0.75294,             0.35917,            0.045567,            0.083158,            0.011076,            0.006337,            0.006337,            0.006337
                 113,            0.029211,            0.045411,           0.0022646,             0.77404,             0.75122,             0.73006,             0.34199,            0.046739,            0.082631,             0.01119,            0.006304,            0.006304,            0.006304
                 114,            0.029776,             0.04415,           0.0023451,             0.78828,             0.74533,             0.74212,             0.35496,            0.045604,            0.083415,             0.01122,            0.006271,            0.006271,            0.006271
                 115,            0.029214,             0.04281,           0.0027742,             0.78663,             0.76103,             0.76244,             0.36951,            0.045937,            0.083752,            0.010663,            0.006238,            0.006238,            0.006238
